host,ip,collector_hostname,timestamp,feature,value,anomaly_score,anomaly_flag,anomaly_type,anomaly_timestamp
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpOutRsts,1010.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpInSegs,135094.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpOutSegs,148865.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpPassiveOpens,70.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpRetransSegs,4251.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpCurrEstab,27.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpEstabResets,511.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,tcpActiveOpens,4128.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,udpInDatagrams,151396.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,udpOutDatagrams,39941.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,udpInErrors,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,udpNoPorts,1247.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipInReceives,228383.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipInDelivers,230689.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipOutRequests,152361.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipOutDiscards,4420.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipInDiscards,1383.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipForwDatagrams,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipOutNoRoutes,19.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,ipInAddrErrors,0.0,-0.08139265295273568,Normal,,
